"Word"
"gestão"
"tempo"
"relacionada"
"competência"
"gestão"
"projetos"
"entanto"
"maioria"
"gestores"
"projetos"
"pessoas"
"formação"
"técnica"
"treinamento"
"experiência"
"anterior"
"atuarem"
"forma"
"otimizada"
"gestão"
"cronogramas"
"contratos"
"budgets"
"etc"
"significa"
"maus"
"funcionários"
"podem"
"ser"
"tecnicamente"
"brilhantes"
"contribuir"
"grandes"
"soluções"
"tecnológicas"
"termos"
"gestão"
"simplesmente"
"possuem"
"treinamento"
"necessário"
"incluo"
"nessa"
"classe"
"gestores"
"dar"
"passo"
"cada"
"vez"
"existe"
"tecnologia"
"tão"
"inovadora"
"petrobras"
"sempre"
"acham"
"algo"
"vai"
"mudar"
"radicalmente"
"companhia"
"sempre"
"existem"
"ondas"
"marolas"
"conduzem"
"barco"
"lugar"
"nenhum"
"é"
"necessário"
"caminhar"
"devagar"
"dominar"
"técnicas"
"necessárias"
"somente"
"conhecimento"
"é"
"praxe"
"petrobras"
"é"
"necessário"
"dominar"
"técnica"
"desde"
"princípios"
"básicos"
"implementação"
"final"
"senão"
"fica"
"refém"
"tecnologia"
"vemos"
"muitos"
"eventos"
"p"
"petrobras"
"projetos"
"ficam"
"abandonados"
"impacto"
"petrobras"
"positivo"
"negativo"
"gestor"
"tentar"
"administrar"
"tempo"
"colaboradores"
"usar"
"métodos"
"ações"
"desincentivem"
"produtividade"
"colaborador"
"envolvimento"
"soluções"
"melhorem"
"processos"
"exemplo"
"td"
"sim"
"faltou"
"falar"
"mobilidade"
"pessoas"
"mobiliza"
"agora"
"vários"
"gerentes"
"seguraram"
"gerenciados"
"vaidade"
"falta"
"visão"
"acho"
"vetos"
"gerenciais"
"deveriam"
"ser"
"desfeitos"
"alocar"
"pessoas"
"forma"
"adequada"
"interesses"
"companhia"
"funcionários"
"tudo"
"influência"
"sobre"
"td"
"pois"
"pessoas"
"podem"
"dedicar"
"trabalhar"
"neste"
"processo"
"podem"
"mobilizar"
"mudar"
"atividades"
"algo"
"motive"
"acho"
"faltou"
"falar"
"segurança"
"informação"
"isc"
"existe"
"algo"
"retrógrado"
"impedir"
"uso"
"mídias"
"portáteis"
"hd"
"externos"
"pen"
"drives"
"é"
"idade"
"pedra"
"tempo"
"individual"
"tempo"
"equipe"
"foco"
"comando"
"controle"
"recai"
"sobre"
"tarefas"
"individuais"
"incentivo"
"colaboração"
"principal"
"é"
"definir"
"é"
"fato"
"urgente"
"importante"
"geralmente"
"conceitos"
"pessoas"
"misturam"
"assim"
"má"
"definição"
"consome"
"tempo"
"desnecessário"
"é"
"preciso"
"classificar"
"corretamente"
"prioridades"
"atendidas"
"adequadamente"
"acredito"
"sim"
"ter"
"verba"
"hh"
"trabalhar"
"cima"
"disso"
"mecanismos"
"controle"
"avalição"
"eficácia"
"nada"
"declarar"
"todos"
"temas"
"explorados"
"companhia"
"investir"
"qualificação"
"funcionário"
"acho"
"importante"
"discutir"
"risco"
"sobrecarga"
"trabalho"
"maior"
"suporte"
"gerência"
"organização"
"bancos"
"dados"
"muitos"
"produtos"
"importantes"
"pareceres"
"orientações"
"organização"
"manutenção"
"recuperação"
"dados"
"1"
"empresa"
"precisa"
"deixar"
"claro"
"quais"
"processos"
"interfaces"
"seguida"
"criar"
"acordos"
